participant_id,question_id,phase_idx,aoi_code,start_ts,end_ts,len_samples
participant_15,Q1,0,3,83.7510986328125,83.7510986328125,33
participant_15,Q1,1,1,83.7510986328125,83.7510986328125,1
participant_15,Q1,2,3,83.7510986328125,83.7510986328125,3
participant_15,Q1,3,1,83.7510986328125,83.7510986328125,7
participant_15,Q1,4,3,83.7510986328125,83.7510986328125,1
participant_15,Q1,5,1,83.7510986328125,84.63475036621094,16
participant_15,Q1,6,3,84.63475036621094,84.63475036621094,1
participant_15,Q1,7,1,84.63475036621094,84.63475036621094,3
participant_15,Q1,8,3,84.63475036621094,84.63475036621094,2
participant_15,Q1,9,1,84.63475036621094,84.63475036621094,13
participant_15,Q1,10,3,84.63475036621094,84.63475036621094,2
participant_15,Q1,11,1,84.63475036621094,84.93657684326172,37
participant_15,Q1,12,0,84.93657684326172,86.14266204833984,75
participant_15,Q1,13,3,86.14266204833984,86.14266204833984,7
participant_15,Q1,14,0,86.14266204833984,86.14266204833984,2
participant_15,Q1,15,5,86.14266204833984,86.14266204833984,8
participant_15,Q1,16,3,86.14266204833984,86.69123077392578,76
participant_15,Q1,17,2,86.69123077392578,86.69123077392578,10
participant_15,Q1,18,3,86.69123077392578,86.91903686523438,14
participant_15,Q1,19,1,86.91903686523438,86.91903686523438,3
participant_15,Q1,20,3,86.91903686523438,86.91903686523438,2
participant_15,Q1,21,1,86.91903686523438,87.0808334350586,12
participant_15,Q1,22,2,87.0808334350586,87.0808334350586,1
participant_15,Q1,23,1,87.0808334350586,87.0808334350586,3
participant_15,Q1,24,2,87.0808334350586,87.0808334350586,1
participant_15,Q1,25,1,87.0808334350586,87.0808334350586,7
participant_15,Q1,26,2,87.0808334350586,87.0808334350586,2
participant_15,Q1,27,1,87.0808334350586,87.21414184570312,14
participant_15,Q1,28,2,87.21414184570312,87.21414184570312,2
participant_15,Q1,29,1,87.21414184570312,87.21414184570312,6
participant_15,Q1,30,2,87.21414184570312,87.21414184570312,3
participant_15,Q1,31,1,87.21414184570312,87.21414184570312,4
participant_15,Q1,32,3,87.21414184570312,87.21414184570312,2
participant_15,Q1,33,1,87.40303039550781,87.40303039550781,1
participant_15,Q1,34,3,87.40303039550781,87.40303039550781,2
participant_15,Q1,35,1,87.40303039550781,87.40303039550781,2
participant_15,Q1,36,3,87.40303039550781,87.40303039550781,1
participant_15,Q1,37,1,87.40303039550781,87.40303039550781,1
participant_15,Q1,38,3,87.40303039550781,87.40303039550781,2
participant_15,Q1,39,1,87.40303039550781,87.40303039550781,18
participant_15,Q1,40,3,87.40303039550781,87.40303039550781,9
participant_15,Q1,41,1,87.40303039550781,87.40303039550781,7
participant_15,Q1,42,3,87.40303039550781,87.40303039550781,2
participant_15,Q1,43,1,87.40303039550781,87.40303039550781,2
participant_15,Q1,44,3,87.40303039550781,87.40303039550781,1
participant_15,Q1,45,1,87.40303039550781,87.40303039550781,1
participant_15,Q1,46,3,87.40303039550781,87.40303039550781,3
participant_15,Q1,47,1,87.40303039550781,87.40303039550781,2
participant_15,Q1,48,3,87.40303039550781,87.40303039550781,3
participant_15,Q1,49,1,87.40303039550781,87.40303039550781,2
participant_15,Q1,50,3,87.40303039550781,87.40303039550781,1
participant_15,Q1,51,1,87.40303039550781,87.40303039550781,3
participant_15,Q1,52,3,87.40303039550781,87.40303039550781,1
participant_15,Q1,53,1,87.40303039550781,87.40303039550781,2
participant_15,Q1,54,3,87.40303039550781,87.40303039550781,1
participant_15,Q1,55,1,87.40303039550781,87.9438705444336,27
participant_15,Q1,56,3,87.9438705444336,87.9438705444336,2
participant_15,Q1,57,1,87.9438705444336,87.9438705444336,6
participant_15,Q1,58,3,87.9438705444336,88.13176727294922,40
participant_15,Q1,59,5,88.13176727294922,88.13176727294922,2
participant_15,Q1,60,3,88.13176727294922,88.38622283935547,6
participant_15,Q1,61,5,88.38622283935547,88.38622283935547,8
participant_15,Q1,62,3,88.38622283935547,88.38622283935547,4
participant_15,Q1,63,5,88.38622283935547,88.38622283935547,3
participant_15,Q1,64,3,88.38622283935547,88.38622283935547,1
participant_15,Q1,65,5,88.38622283935547,88.38622283935547,2
participant_15,Q1,66,3,88.38622283935547,88.38622283935547,1
participant_15,Q1,67,5,88.38622283935547,88.90191650390625,77
participant_15,Q1,68,3,88.90191650390625,88.90191650390625,6
participant_15,Q1,69,5,88.90191650390625,88.90191650390625,1
participant_15,Q1,70,3,88.90191650390625,89.10286712646484,2
participant_15,Q1,71,5,89.10286712646484,89.10286712646484,1
participant_15,Q1,72,3,89.10286712646484,89.10286712646484,2
participant_15,Q1,73,5,89.10286712646484,89.10286712646484,6
participant_15,Q1,74,3,89.10286712646484,89.10286712646484,1
participant_15,Q1,75,5,89.10286712646484,89.10286712646484,5
participant_15,Q1,76,3,89.10286712646484,89.10286712646484,1
participant_15,Q1,77,5,89.10286712646484,89.10286712646484,1
participant_15,Q1,78,3,89.10286712646484,89.10286712646484,2
